# ============================================================
# FocusGate — Practice Content
# ============================================================
# FORMAT: Level | Category | Prompt (what the app says) | Response (model answer)
#
# - Prompt: la pregunta o situación que la app dice en voz alta
# - Response: la respuesta modelo que tú deberías dar
# - Si solo hay 3 campos (sin Response): modo repetición clásico
#
# Cómo agregar frases:
#   B1 | Category | What did you work on yesterday? | Yesterday I finished the login screen.
#
# Levels: A2 (básico) · B1 (intermedio) · B2 (avanzado)
# ============================================================


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: FOUNDATIONS | Foundations | 🗣️ | Conversational essentials
# ╚══════════════════════════════════════════════════════════╝
# Practica esto primero — aplica en cualquier conversación o entrevista.

# --- A2: Reacciones universales básicas ---
A2 | Clarification    | You did not hear what someone said in a meeting. React naturally. | Could you repeat that, please?
A2 | Clarification    | Someone explained something but you did not understand. | I did not understand. Can you say it again?
A2 | Clarification    | Someone used a word you do not know. Ask politely. | What does that mean exactly?
A2 | Clarification    | The person is speaking too fast for you. | Can you speak more slowly, please?
A2 | Clarification    | You missed the last part of a sentence. | Sorry, I did not catch that last part.
A2 | Clarification    | You need more detail about something said. | Could you be more specific about that?
A2 | Clarification    | You understood the words but not the meaning. | Can you explain that again in a different way?
A2 | Agreement        | Your teammate says something you totally agree with. | I agree with you completely.
A2 | Agreement        | Someone proposes an idea and you think it is correct. | Yes, I think so too.
A2 | Agreement        | Your manager proposes a solution to a problem. | That is a good idea.
A2 | Agreement        | Someone summarizes what you said accurately. | Yes, exactly. That is what I mean.
A2 | Agreement        | A colleague suggests a plan that works for you. | That sounds good to me.
A2 | Thinking         | Someone asks you a question and you need a moment. | Let me think for a second.
A2 | Thinking         | Someone asks your opinion on something you are unsure about. | I am not sure about that right now.
A2 | Thinking         | You want to ask a question in a meeting. | I have a question about that.
A2 | Understanding    | Someone explained something and you got it. | I understand what you mean.
A2 | Understanding    | Someone is explaining something and you are lost. | I am not following you. Can you help me?
A2 | Politeness       | Someone spent time explaining something to you. | Thank you for explaining that to me.

# --- B1: Frases conversacionales intermedias ---
B1 | Thinking         | An interviewer asks you a complex question. Take a moment before answering. | That is a great question — let me think about it for a moment.
B1 | Clarification    | A client said something in a meeting you want to confirm. | Could you repeat that? I want to make sure I understand correctly.
B1 | Clarification    | Someone described a plan and you want to verify your understanding. | So if I understand correctly, you are saying that we need to start from scratch.
B1 | Clarification    | Someone says something abstract and you need a concrete example. | Could you give me a specific example of what you mean?
B1 | Clarification    | Someone uses technical jargon you are not sure about. | Could you clarify what you mean by that term?
